Date,Open,High,Low,Close,Adj_Close,Volume,Day
2013-09-23,156.160004,156.300003,155.160004,155.740005,130.537018,1400700,0
2013-09-24,155.639999,156.220001,155.020004,155.399994,130.251999,1632400,1
2013-09-25,155.399994,155.660004,154.720001,154.899994,129.832947,789000,2
2013-09-26,155.119995,155.860001,154.860001,155.520004,130.352646,622250,3
2013-09-27,154.699997,154.940002,154.339996,154.860001,129.799469,1405950,4
2013-09-30,153.399994,154.380005,153.100006,154,129.078629,1521800,5
2013-10-01,154.039993,155.259995,153.919998,155.179993,130.067657,1110450,6
2013-10-02,154.179993,155,153.740005,154.979996,129.90004,1253600,7
2013-10-03,154.600006,154.720001,152.839996,153.600006,128.743362,1447700,8
2013-10-04,153.679993,154.860001,153.479996,154.720001,129.682114,538450,9
2013-10-07,153.360001,154.300003,153.220001,153.399994,128.575684,690850,10
2013-10-08,153.339996,153.520004,151.479996,151.619995,127.083725,2071600,11
2013-10-09,151.899994,152.240005,150.720001,151.619995,127.083725,1340100,12
2013-10-10,153.199997,155.039993,153.199997,155.039993,129.950272,1441200,13
2013-10-11,154.740005,156.020004,154.619995,155.960007,130.721405,1235900,14
2013-10-14,155.020004,156.699997,154.880005,156.639999,131.291412,1408450,15
2013-10-15,156.179993,156.759995,155.259995,155.479996,130.319092,1655750,16
2013-10-16,156.360001,157.699997,156.300003,157.600006,132.096085,3102850,17
2013-10-17,157,158.759995,156.979996,158.679993,133.001236,2548900,18
2013-10-18,159.240005,159.860001,158.960007,159.740005,133.889755,1671950,19
2013-10-21,159.839996,160.059998,159.419998,159.820007,133.956757,1009100,20
2013-10-22,160.259995,161.139999,160.020004,160.679993,134.677597,1364950,21
2013-10-23,160.160004,160.199997,159.380005,159.940002,134.057343,948250,22
2013-10-24,160.220001,160.639999,159.860001,160.460007,134.493179,795600,23
2013-10-25,160.800003,161.199997,160.479996,161.199997,135.113464,1019700,24
2013-10-28,161.149994,161.669998,160.960007,161.399994,135.281097,1155000,25
2013-10-29,161.789993,162.389999,161.589996,162.389999,136.110825,844500,26
2013-10-30,162.529999,162.619995,160.929993,161.479996,135.348145,3362100,27
2013-10-31,161.399994,162.039993,160.800003,160.880005,134.845215,1437500,28
2013-11-01,161.279999,161.779999,160.529999,161.339996,135.230774,1341300,29
2013-11-04,161.910004,162.070007,161.380005,162.070007,135.842636,2940900,30
2013-11-05,161.339996,161.910004,160.839996,161.580002,135.431961,1147000,31
2013-11-06,162.210007,162.589996,161.729996,162.330002,136.060608,1510400,32
2013-11-07,162.649994,162.740005,160.100006,160.25,134.3172,1242100,33
2013-11-08,160.220001,162.449997,160.179993,162.449997,136.161148,1629500,34
2013-11-11,162.279999,162.619995,162.089996,162.419998,136.136047,1109900,35
2013-11-12,162.089996,162.470001,161.580002,162.130005,135.892929,929600,36
2013-11-13,161.330002,163.440002,161.330002,163.380005,136.940659,1336300,37
2013-11-14,163.610001,164.380005,163.320007,164.289993,137.703354,1720600,38
2013-11-15,164.5,165,164.320007,165,138.298523,710300,39
2013-11-18,165.279999,165.369995,164.009995,164.389999,137.787231,1319800,40
2013-11-19,164.279999,164.779999,163.740005,164.070007,137.519043,1156500,41
2013-11-20,164.339996,164.820007,163.080002,163.550003,137.083206,1468000,42
2013-11-21,164,164.949997,163.880005,164.830002,138.156052,2121600,43
2013-11-22,164.910004,165.669998,164.720001,165.669998,138.860077,1405200,44
2013-11-25,165.929993,165.970001,165.259995,165.570007,138.77623,810000,45
2013-11-26,165.589996,166.009995,165.289993,165.490005,138.709213,773300,46
2013-11-27,165.699997,166.039993,165.509995,165.940002,139.086365,826300,47
2013-11-29,166.100006,166.509995,165.649994,165.699997,138.885208,614400,48
2013-12-02,165.949997,166.220001,165.149994,165.440002,138.667328,1409000,49
2013-12-03,164.889999,165.259995,164.160004,164.800003,138.130859,1076900,50
2013-12-04,164.100006,165.339996,163.389999,164.610001,137.971603,1374100,51
2013-12-05,164.399994,164.649994,163.800003,163.979996,137.443588,1168500,52
2013-12-06,165.550003,165.919998,165.059998,165.839996,139.002579,1208700,53
2013-12-09,166.25,166.429993,165.990005,166.220001,139.321075,1586300,54
2013-12-10,165.820007,166.169998,165.509995,165.649994,138.843307,1747700,55
2013-12-11,165.669998,165.699997,163.539993,163.770004,137.267563,1079100,56
2013-12-12,163.639999,163.850006,162.869995,163.229996,136.814957,3453800,57
2013-12-13,163.529999,163.679993,162.880005,163.179993,136.773026,2151000,58
2013-12-16,163.960007,164.720001,163.899994,164.220001,137.64473,1838100,59
2013-12-17,164.330002,164.360001,163.309998,163.639999,137.158569,1479800,60
2013-12-18,163.919998,166.509995,162.009995,166.490005,139.547379,3112400,61
2013-12-19,166.029999,166.470001,165.570007,166.339996,139.421707,1242900,62
2013-12-20,166.440002,167.649994,166.440002,167.179993,140.125717,1303500,63
2013-12-23,168.070007,168.949997,167.75,168.949997,141.609283,1480200,64
